date,campaign_id,campaign_name,spend,impressions,clicks
2025-03-05,goog_search,Search - Brand,93.58,2115,29
2025-03-05,goog_pmax,Performance Max,191.17,4896,76
2025-03-06,goog_search,Search - Brand,98.17,3083,29
2025-03-06,goog_pmax,Performance Max,184.26,4883,69
2025-03-07,goog_search,Search - Brand,114.34,2575,27
2025-03-07,goog_pmax,Performance Max,200.89,4472,76
2025-03-08,goog_search,Search - Brand,80.37,2254,39
2025-03-08,goog_pmax,Performance Max,191.85,5487,99
2025-03-09,goog_search,Search - Brand,93.23,2138,29
2025-03-09,goog_pmax,Performance Max,133.2,3485,42
2025-03-10,goog_search,Search - Brand,114.39,3101,29
2025-03-10,goog_pmax,Performance Max,191.71,4524,58
2025-03-11,goog_search,Search - Brand,111.4,2270,34
2025-03-11,goog_pmax,Performance Max,174.17,2852,50
2025-03-12,goog_search,Search - Brand,92.18,2098,19
2025-03-12,goog_pmax,Performance Max,181.64,4251,56
2025-03-13,goog_search,Search - Brand,122.28,3276,45
2025-03-13,goog_pmax,Performance Max,238.65,7032,117
2025-03-14,goog_search,Search - Brand,104.12,3027,66
2025-03-14,goog_pmax,Performance Max,236.28,7580,141
2025-03-15,goog_search,Search - Brand,94.46,1949,20
2025-03-15,goog_pmax,Performance Max,170.44,3122,39
2025-03-16,goog_search,Search - Brand,94.72,2115,36
2025-03-16,goog_pmax,Performance Max,143.77,3310,63
2025-03-17,goog_search,Search - Brand,112.46,2942,64
2025-03-17,goog_pmax,Performance Max,253.57,5449,110
2025-03-18,goog_search,Search - Brand,101.69,2535,38
2025-03-18,goog_pmax,Performance Max,247.86,5076,85
2025-03-19,goog_search,Search - Brand,116.78,3298,46
2025-03-19,goog_pmax,Performance Max,246.21,5454,106
2025-03-20,goog_search,Search - Brand,114.61,2223,36
2025-03-20,goog_pmax,Performance Max,224.65,5296,63
2025-03-21,goog_search,Search - Brand,106.87,2055,44
2025-03-21,goog_pmax,Performance Max,190.28,4253,83
2025-03-22,goog_search,Search - Brand,92.23,2571,54
2025-03-22,goog_pmax,Performance Max,165.91,3453,63
2025-03-23,goog_search,Search - Brand,94.49,2238,22
2025-03-23,goog_pmax,Performance Max,198.15,5410,51
2025-03-24,goog_search,Search - Brand,120.61,2320,30
2025-03-24,goog_pmax,Performance Max,190.85,4284,49
2025-03-25,goog_search,Search - Brand,102.25,2852,46
2025-03-25,goog_pmax,Performance Max,237.4,6972,94
2025-03-26,goog_search,Search - Brand,111.51,3027,66
2025-03-26,goog_pmax,Performance Max,244.74,7470,142
2025-03-27,goog_search,Search - Brand,124.56,2224,41
2025-03-27,goog_pmax,Performance Max,226.72,5717,73
2025-03-28,goog_search,Search - Brand,104.98,2799,51
2025-03-28,goog_pmax,Performance Max,181.48,4695,59
2025-03-29,goog_search,Search - Brand,76.75,2039,27
2025-03-29,goog_pmax,Performance Max,159.57,3498,56
2025-03-30,goog_search,Search - Brand,86.6,1786,20
2025-03-30,goog_pmax,Performance Max,169.61,4515,48
2025-03-31,goog_search,Search - Brand,117.36,2547,65
2025-03-31,goog_pmax,Performance Max,196.7,4295,67
